GENESIS-Tabelle: 12521-0040
Ausländer: Kreise, Stichtag, Geschlecht;;;;;
Ausländerstatistik;;;;;
Ausländer (Anzahl);;;;;
;;;männlich;weiblich;Insgesamt
31.12.2020;09190;Weilheim-Schongau, Landkreis;8055;6865;14920
31.12.2020;09261;Landshut, kreisfreie Stadt;8135;6975;15110
31.12.2020;09262;Passau, kreisfreie Stadt;5855;4865;10720
31.12.2020;09263;Straubing, kreisfreie Stadt;4505;3930;8435
31.12.2020;09271;Deggendorf, Landkreis;8725;6000;14725
31.12.2020;09272;Freyung-Grafenau, Landkreis;2370;1985;4355
31.12.2020;09273;Kelheim, Landkreis;9585;7395;16980
31.12.2020;09274;Landshut, Landkreis;10090;7695;17785
31.12.2020;09275;Passau, Landkreis;9790;7855;17645
31.12.2020;09276;Regen, Landkreis;3035;2580;5615
31.12.2020;09277;Rottal-Inn, Landkreis;7690;5775;13465
31.12.2020;09278;Straubing-Bogen, Landkreis;4685;3590;8275
31.12.2020;09279;Dingolfing-Landau, Landkreis;7380;5290;12675
31.12.2020;09361;Amberg, kreisfreie Stadt;2770;2285;5055
31.12.2020;09362;Regensburg, kreisfreie Stadt;16350;14265;30610
31.12.2020;09363;Weiden in der Oberpfalz, kreisfreie Stadt;3230;2560;5790
31.12.2020;09371;Amberg-Sulzbach, Landkreis;3425;2575;6000
31.12.2020;09372;Cham, Landkreis;4510;3755;8260
31.12.2020;09373;Neumarkt in der Oberpfalz, Landkreis;7300;5025;12325
31.12.2020;09374;Neustadt an der Waldnaab, Landkreis;2610;2035;4645
31.12.2020;09375;Regensburg, Landkreis;10215;8645;18860
31.12.2020;09376;Schwandorf, Landkreis;7645;6215;13860
31.12.2020;09377;Tirschenreuth, Landkreis;1850;1640;3490
31.12.2020;09461;Bamberg, kreisfreie Stadt;6385;5260;11645
31.12.2020;09462;Bayreuth, kreisfreie Stadt;6400;5560;11960
31.12.2020;09463;Coburg, kreisfreie Stadt;2580;2220;4800
31.12.2020;09464;Hof, kreisfreie Stadt;4645;3970;8615
31.12.2020;09471;Bamberg, Landkreis;4450;3400;7845
31.12.2020;09472;Bayreuth, Landkreis;2210;1935;4145
31.12.2020;09473;Coburg, Landkreis;2600;2190;4790
31.12.2020;09474;Forchheim, Landkreis;4505;3955;8460
31.12.2020;09475;Hof, Landkreis;3015;2710;5720
31.12.2020;09476;Kronach, Landkreis;1825;1615;3440
31.12.2020;09477;Kulmbach, Landkreis;2135;1805;3945
31.12.2020;09478;Lichtenfels, Landkreis;2350;2075;4425
31.12.2020;09479;Wunsiedel im Fichtelgebirge, Landkreis;3245;2990;6230
31.12.2020;09561;Ansbach, kreisfreie Stadt;3485;3080;6565
31.12.2020;09562;Erlangen, kreisfreie Stadt;12460;11180;23640
31.12.2020;09563;Fürth, kreisfreie Stadt;14585;12880;27465
