GENESIS-Tabelle: 12411-0018
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2020;03257;Schaumburg, Landkreis;2105;2103;2701;3501;2317;1649;4343;4080;4383;4336;4360;4698;6884;7089;5891;8815;8493;1919;2113;2577;3359;2155;1535;3761;3701;4181;4316;4308;4788;6844;7058;5964;9627;12452
31.12.2020;03351;Celle, Landkreis;2602;2675;3422;4309;2786;1914;4793;4788;5545;5201;5157;5209;7005;7488;6309;9970;9047;2421;2559;3357;4139;2678;1795;4156;4466;5185;5191;5049;5433;7039;7480;6564;10897;12757
31.12.2020;03352;Cuxhaven, Landkreis;2606;2843;3593;4677;2878;1993;4902;4875;5375;5320;5219;5884;8149;8456;7155;12503;10731;2584;2562;3320;4411;2774;1885;4337;4412;5252;5284;5414;6194;8512;8828;7868;13287;14743
31.12.2020;03353;Harburg, Landkreis;3681;4014;5044;6242;3850;2669;6866;6416;7179;7422;7749;7949;11120;11324;8718;12806;12946;3438;3699;4779;5933;3664;2414;5682;5438;6834;7763;8231;8311;11565;11470;8925;14482;17393
31.12.2020;03354;Lüchow-Dannenberg, Landkreis;560;601;826;1096;701;543;1109;1093;1185;1216;1274;1358;1919;2107;1936;3297;2970;545;577;753;986;690;445;912;934;1102;1213;1281;1369;2015;2224;2130;3471;4065
31.12.2020;03355;Lüneburg, Landkreis;2606;2763;3560;4459;2792;1914;5623;5399;5955;5439;5584;5718;7651;7573;5999;9002;7877;2446;2578;3411;4276;2686;1943;5670;5069;5514;5726;5841;6004;7867;7925;6266;9858;11241
31.12.2020;03356;Osterholz, Landkreis;1594;1779;2203;2756;1725;1203;2870;2552;3058;3230;3203;3431;4995;5200;4217;6390;5811;1517;1661;2035;2548;1543;1090;2393;2446;3066;3379;3366;3658;5166;5177;4348;7028;8002
31.12.2020;03357;Rotenburg (Wümme), Landkreis;2374;2332;2991;4011;2712;1969;5020;4750;5192;4705;4647;5166;6994;7360;5902;8889;7528;2252;2232;2778;3810;2443;1753;4130;4069;4624;4619;4585;5183;7054;7085;6021;9272;10034
31.12.2020;03358;Heidekreis;2041;2068;2673;3458;2183;1609;4283;4223;4582;4030;3950;4179;5713;5992;5103;7456;6860;1913;1854;2394;3121;2026;1437;3468;3460;3961;3913;3978;4131;5831;6129;5224;7894;9748
31.12.2020;03359;Stade, Landkreis;3194;3283;4039;5273;3108;2204;5908;5992;6419;6190;6160;6515;8458;8426;6998;10561;9459;2930;3016;3761;4767;3076;2079;5136;5286;6021;6130;6153;6391;8307;8467;7058;11751;12841
31.12.2020;03360;Uelzen, Landkreis;1158;1115;1509;2031;1391;888;2454;2378;2580;2354;2447;2777;3800;4157;3577;5349;5250;1076;1153;1442;1955;1268;921;2155;2140;2430;2287;2553;2904;3940;4185;3688;5833;7421
31.12.2020;03361;Verden, Landkreis;2061;2196;2702;3347;2071;1434;3771;3713;3982;3990;3756;4099;5712;5723;4779;7568;6680;1930;2137;2601;3242;2008;1374;3326;3323;3869;4081;3929;4276;5750;5963;5015;8172;8994
31.12.2020;03401;Delmenhorst, kreisfreie Stadt;1248;1298;1465;1931;1237;879;2243;2393;2551;2283;2173;2383;2966;3151;2479;3871;3721;1165;1285;1443;1709;1017;780;2069;2203;2389;2251;2263;2390;2973;3026;2672;4531;5065
31.12.2020;03402;Emden, kreisfreie Stadt;700;784;927;1194;715;513;1749;1894;1672;1494;1425;1491;2018;1908;1600;2597;2188;659;687;843;1087;711;523;1655;1562;1550;1416;1375;1448;1949;1909;1596;2885;3150
31.12.2020;03403;Oldenburg (Oldenburg), kreisfreie Stadt;2322;2236;2891;3538;2230;1696;6381;7289;6783;5206;4736;4701;6172;5949;5028;7519;6685;2308;2201;2798;3475;2112;1752;6841;7269;6547;5439;4995;5071;6591;6637;5551;8787;9869
